Plate ID,Date,RA_CTR,DEC_CTR,Dec_delta_x,Dec_delta_y,RA_delta_x,RA_delta_y,crpix1,crpix2,naxis1,naxis2,Year,Cluster
a04297, 1900-04-12T08:54:14.4Z,277.459448,-22.988752, -0.000181972, -2.54939e-06, -2.56142e-06, 0.000181952,16887.7695,15687.8602, 35268, 31627,1900,0
a04298, 1900-04-18T00:23:02.4Z,115.186893,-68.011677, -0.000181986, 2.60263e-06, 2.52109e-06, 0.000182007,17882.5023,14475.3827, 35268, 31627,1900,-1
a04299, 1900-04-18T01:33:36Z,123.679174,-32.954257, -0.000181977, 4.06723e-07, 3.81566e-07, 0.00018195,17612.473,15079.3604, 35268, 31627,1900,-1
a04300, 1900-04-18T08:58:33.6Z,338.012561,-7.476508, -0.000160689, -8.60694e-05, -8.60207e-05, 0.000160459,17890.8426,11066.5785, 21953, 17493,1900,-1
a04301, 1900-04-18T09:34:33.6Z,339.083844,-6.959604, -0.000160657, -8.57638e-05, -8.58029e-05, 0.000160567,11713.0221,10625.1234, 21953, 17493,1900,-1
a04302, 1900-04-18T10:06:14.4Z,339.353558,-7.871835, -0.000159892, -8.70616e-05, -8.69842e-05, 0.000159868,12671.0962,6024.9145, 21953, 17402,1900,-1
a04303, 1900-04-19T00:33:07.2Z,98.346359,-32.77772, -0.000182009, 1.23657e-06, 1.21224e-06, 0.000181966,18044.0036,14820.1952, 35268, 31627,1900,-1
a04304, 1900-04-19T08:44:09.6Z,339.990512,-7.074217, -0.00016137, -8.48162e-05, -8.48624e-05, 0.000161064,11577.4242,9222.7923, 21953, 17493,1900,-1
a04305, 1900-04-19T09:34:33.6Z,339.854993,-7.25443, -0.000161744, -8.42501e-05, -8.43204e-05, 0.000161365,12673.4395,8969.2964, 21953, 17493,1900,-1
a04306, 1900-04-20T00:24:28.8Z,93.750207,-22.657909, -0.000182008, 8.83366e-07, 8.77121e-07, 0.000181947,17961.8301,15394.0208, 35268, 31627,1900,-1
a04307, 1900-04-20T01:32:09.6Z,113.669353,-22.94959, -0.000181992, 2.1903e-06, 2.17104e-06, 0.000181941,18181.3297,14919.9607, 35268, 31627,1900,-1
a04308, 1900-04-20T02:39:50.4Z,128.725812,-23.054634, -0.000182014, 3.96761e-07, 3.83904e-07, 0.000181961,17885.9408,14636.2848, 35268, 31627,1900,-1
a04309, 1900-04-20T03:46:04.8Z,138.668101,-23.099459, -0.000182038, 1.57948e-07, 1.5139e-07, 0.00018196,18141.441,14945.6035, 35268, 31627,1900,-1
a04310, 1900-04-21T00:28:48Z,98.364229,-27.617178, -0.000182017, 1.46388e-06, 1.44693e-06, 0.000181968,18218.6223,15058.4645, 35268, 31627,1900,-1
a04311, 1900-04-21T01:39:21.6Z,118.388895,-27.739238, -0.000182002, -6.33109e-07, -6.52236e-07, 0.000181956,17650.8502,15384.3348, 35268, 31627,1900,-1
a04312, 1900-04-21T02:48:28.8Z,138.340335,-28.04758, -0.000182008, 1.10848e-07, 8.3809e-08, 0.000181969,18529.114,14595.3278, 35268, 31627,1900,-1
a04313, 1900-04-21T03:56:07.1Z,148.404669,-33.025331, -0.00018203, -1.32718e-07, -1.64457e-07, 0.000181981,18265.4466,15157.513, 35268, 31627,1900,-1
a04314, 1900-04-21T06:17:16.8Z,183.382707,-13.335655, -0.000182045, -1.7306e-06, -1.72088e-06, 0.000181989,18531.2342,15119.509, 35268, 31627,1900,-1
a04315, 1900-04-21T06:33:07.2Z,193.482673,-13.318257, -0.000181987, -3.11407e-06, -3.11831e-06, 0.00018196,18426.7159,15026.1306, 35268, 31627,1900,-1
a04316, 1900-04-21T07:09:07.2Z,213.819179,-28.328467, -0.000182017, -1.5297e-06, -1.55131e-06, 0.000181995,18632.368,15265.6473, 35268, 31627,1900,-1
a04317, 1900-04-21T07:35:02.4Z,218.781919,-12.839818, -0.00018201, -2.07337e-06, -2.08314e-06, 0.000181992,18447.0358,14940.9324, 35268, 31627,1900,-1
a04318, 1900-04-21T08:00:57.6Z,233.606975,-8.012118, -0.000181987, -3.60072e-06, -3.60305e-06, 0.000181977,18192.4107,15268.0331, 35268, 31627,1900,-1
a04319, 1900-04-21T08:25:26.4Z,228.812763,-27.802596, -0.000182016, -1.3072e-06, -1.32524e-06, 0.000181991,18020.3211,15630.092, 35268, 31627,1900,-1
a04320, 1900-04-22T01:53:45.6Z,155.933289,-58.335208, -0.000181949, 4.73211e-07, 4.34116e-07, 0.000181978,17750.7871,14834.1601, 35268, 31627,1900,-1
a04321, 1900-04-22T06:20:09.6Z,203.693092,22.250229, -0.000181985, -1.98554e-06, -1.94767e-06, 0.000181982,17832.8821,15096.6203, 35268, 31627,1900,-1
a04322, 1900-04-22T07:53:45.6Z,228.517827,22.378191, -0.000181985, -3.77738e-06, -3.74418e-06, 0.000181984,18833.5711,15009.3114, 35268, 31627,1900,-1
a04323, 1900-04-24T00:50:24Z,108.808604,-22.706963, -0.000182003, -7.17361e-07, -7.34377e-07, 0.000181961,18594.2556,14494.5802, 35268, 31627,1900,-1
a04324, 1900-04-24T02:15:21.6Z,123.630081,-42.954068, -0.000182035, 6.47259e-07, 6.27764e-07, 0.000181971,18414.8629,15472.714, 35268, 31627,1900,-1
a04325, 1900-04-24T08:06:43.2Z,224.272982,-12.643012, -0.000181993, -3.27793e-06, -3.28352e-06, 0.000181949,18454.6389,15510.7841, 35268, 31627,1900,-1
a04326, 1900-04-25T00:11:31.2Z,113.037574,-47.842564, -0.000182019, 1.00694e-06, 9.61927e-07, 0.000182006,18443.7656,14268.3419, 35268, 31627,1900,-1
a04327, 1900-04-25T00:44:38.4Z,168.617011,-48.092184, -0.000181999, -1.14024e-06, -1.14151e-06, 0.000182001,17871.7948,14850.6493, 35268, 31627,1900,-1
a04328, 1900-04-27T00:23:02.4Z,108.048032,-52.913646, -0.000182009, 1.58073e-06, 1.52021e-06, 0.000181974,18778.6013,14454.0803, 35268, 31627,1900,-1
a04330, 1900-04-27T03:30:14.4Z,158.841512,-42.999615, -0.000182, 6.43076e-07, 6.03649e-07, 0.000181974,18087.2083,15725.1113, 35268, 31627,1900,-1
a04331, 1900-04-27T06:18:43.2Z,277.327845,-22.909702, -0.00018201, -1.56214e-06, -1.57226e-06, 0.000181973,17611.8938,15211.0934, 35268, 31627,1900,0
a04332, 1900-04-27T08:11:02.4Z,345.913035,-3.701953, -0.00018268, -1.1748e-06, -1.56891e-06, 0.000182079,15008.2409,17774.3587, 35268, 31627,1900,-1
a04333, 1900-04-27T09:21:36Z,342.080848,-4.039978, -0.000160834, -8.59228e-05, -8.58838e-05, 0.000160715,16191.0594,18641.1882, 21953, 17402,1900,-1
a04334, 1900-04-27T10:07:40.8Z,342.79927,-5.769762, -0.000160667, -8.57774e-05, -8.58216e-05, 0.000160593,17235.6034,8403.3067, 21953, 17493,1900,-1
a04335, 1900-04-28T01:04:48Z,118.310018,-47.60094, -0.000182, 1.36643e-06, 1.31614e-06, 0.000181966,18173.1283,15602.6099, 35268, 31627,1900,-1
a04336, 1900-04-28T02:34:04.8Z,143.653235,-33.180101, -0.00018201, 7.43106e-07, 7.17432e-07, 0.000181978,18160.3765,14899.9554, 35268, 31627,1900,-1
a04337, 1900-04-28T03:41:45.6Z,178.985812,-63.244502, -0.000182027, -1.53031e-06, -1.59087e-06, 0.000182038,18004.2023,14758.0322, 35268, 31627,1900,-1
a04338, 1900-04-28T09:44:38.4Z,344.186556,-4.088557, -0.000160892, -8.53144e-05, -8.53185e-05, 0.000160838,10957.3836,11475.243, 21953, 17493,1900,-1
a04339, 1900-05-01T04:17:45.6Z,194.199173,-63.286467, -0.000181986, -1.77722e-06, -1.83109e-06, 0.000182008,18511.7661,14478.1737, 35268, 31627,1900,-1
