Plate ID, Date, Author, Notebook
a15180, 1931-02-17T00:00:00Z, None, None
a15376, 1931-05-17T18:37:26.4Z, ['Muriel E. Mussells Seyfert'], ['phaedra2344', 'phaedra2326']
a01049, 1894-10-12T04:53:45.6Z, None, None
a02085, None, None, None
a05144, 1901-04-26T03:46:04.8Z, ['Dorrit Hoffleit'], ['phaedra2534']
a05013, 1901-02-24T01:32:09.6Z, None, None
a01199, None, ['Dorrit Hoffleit'], ['phaedra2644']
a18153, 1935-12-09T01:00:58.8Z, None, None
a09345, 1909-06-10T01:48:00Z, ['Ida E. Woods'], ['phaedra1210']
a19266, None, None, None
a03008, 1898-05-15T02:52:48Z, ['Adelaide Ames'], ['phaedra2320']
a18010, 1935-09-27T18:51:50.4Z, None, None
a11581, None, ['Ida E. Woods', 'Henrietta Swan Leavitt'], ['phaedra1184', 'phaedra2526']
a16549, 1933-08-18T18:20:09.6Z, None, None
a08467, 1907-08-20T05:51:21.6Z, None, None
a03927, 1899-08-27T03:02:52.8Z, None, None
a08174, None, None, None
a03784, 1899-07-30T04:10:33.6Z, ['Ida E. Woods'], ['phaedra1203']
a02073, None, None, None
a01129, 1894-10-19T06:46:04.8Z, None, None
a03042, 1898-06-01T02:16:48Z, None, None
a03274, 1898-08-28T03:08:38.4Z, ['Williamina Fleming', 'Sarah E. Breslin'], ['phaedra0859', 'phaedra0741']
a17270, 1934-12-14T21:34:33.6Z, None, None
a12330, 1923-04-20T04:13:26.4Z, None, None
a12588, 1923-08-16T00:41:45.6Z, ['Ida E. Woods', 'Dorrit Hoffleit'], ['phaedra1218', 'phaedra1223', 'phaedra2532', 'phaedra2533']
a00333, 1894-03-08T04:01:55.2Z, ['Ida E. Woods'], ['phaedra1200']
a02811, 1897-10-07T00:57:36Z, ['Ida E. Woods', 'Annie Jump Cannon'], ['phaedra1223', 'phaedra1218', 'phaedra2110']
a09323, 1909-05-31T05:36:57.6Z, None, None
a13012, 1924-06-29T07:58:04.8Z, ['Virginia McKibben Nail', 'R. K. Marshall', 'Mary R. Hunt', 'Marjorie Browning Leavens', 'Frances Woodworth Wright', 'Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin'], ['phaedra2430', 'phaedra2440', 'phaedra2446', 'phaedra2536']
a05037, None, None, None
a14379, 1929-12-01T00:33:07.2Z, None, None
a19585, 1937-07-16T21:30:14.4Z, None, None
a18034, 1935-10-18T23:23:49.1Z, None, None
a13824, None, None, None
a13850, 1926-06-28T23:49:55.2Z, None, None
a15067, 1930-12-11T23:47:02.4Z, None, None
a15876, 1932-01-05T01:46:33.6Z, None, None
a03540, 1899-05-23T02:00:57.6Z, None, None
a00808, 1894-08-18T03:28:48Z, ['Sarah E. Breslin', 'Evelyn F. Leland'], ['phaedra0716', 'phaedra0970']
a03368, 1898-10-25T03:56:09.6Z, None, None
a05667, 1901-09-25T03:44:38.4Z, None, None
a08631, 1908-04-12T01:46:33.6Z, None, None
a10588, None, None, None
a03930, None, None, None
a10746, None, ['Ida E. Woods'], ['phaedra2471']
a14195, 1929-08-26T21:25:55.2Z, ['Virginia McKibben Nail', 'R. K. Marshall', 'Marjorie Browning Leavens', 'Frances Woodworth Wright', 'Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin', 'A. F. Swain'], ['phaedra2430', 'phaedra2432', 'phaedra2446', 'phaedra2536']
a16188, None, None, None
a04126, None, ['Sarah E. Breslin'], ['phaedra0712']
a12945, None, ['Ida E. Woods', 'Adelaide Ames'], ['phaedra1201', 'phaedra2320']
a03106, 1898-06-21T01:22:04.8Z, ['Sarah E. Breslin', 'Margaret W. Mayall', 'Henrietta Swan Leavitt'], ['phaedra0716', 'phaedra0713', 'phaedra2589', 'phaedra0946']
a04111, None, ['Annie Jump Cannon'], ['phaedra2225']
a16667, 1933-10-30T00:12:57.6Z, None, None
a06607, 1903-10-21T03:07:12Z, ['Sarah E. Breslin'], ['phaedra0741']
a00821, 1894-08-19T02:47:02.4Z, ['Sarah E. Breslin', 'Ida E. Woods'], ['phaedra0741', 'phaedra1222']
a00916, 1894-09-29T01:06:14.4Z, ['Ida E. Woods'], ['phaedra1200']
a01218, 1894-12-23T00:48:57.6Z, ['Ida E. Woods'], ['phaedra1203']
a08333, None, ['Annie Jump Cannon'], ['phaedra2225']
a01763, 1896-04-28T03:36:00Z, None, None
a03900, 1899-08-19T09:30:14.4Z, None, None
